task_id,node_id,start,duration
Init-982,48,0,11
Init-985,52,0,11
Init-987,73,0,14
Init-988,183,0,13
Init-989,197,0,10
Init-992,125,0,13
Init-994,59,0,18
Init-1000,84,0,15
Init-1008,158,0,20
Init-1009,174,0,19
Init-1014,114,0,9
Init-1015,136,0,10
Init-1022,161,0,4
Init-1025,167,0,8
Init-1026,172,0,16
Init-1027,184,0,8
Init-1034,184,0,8
Init-1077,4,0,14
Init-1078,8,0,3
Init-1079,10,0,18
Init-1080,13,0,6
Init-1081,35,0,13
Init-1082,30,0,2
Init-1083,36,0,8
Init-1084,0,0,7
Init-1085,10,0,3
Init-1086,40,0,10
Init-1087,0,0,5
Init-1088,8,0,5
Init-1089,53,0,5
Init-1090,73,0,6
Init-1091,48,0,2
Init-1092,82,0,5
Init-1093,83,0,6
Init-1094,127,0,18
Init-1095,13,0,5
Init-1096,129,0,8
Init-1097,99,0,8
Init-1098,129,0,11
Init-1099,67,0,17
Init-1100,80,0,12
Init-1101,97,0,4
Init-1102,36,0,17
Init-1103,81,0,4
Init-1104,57,0,9
Init-1105,177,0,16
Init-1106,27,0,3
Init-1107,123,0,12
Init-1108,160,0,5
Init-1109,30,0,7
Init-1110,134,0,10
Init-1111,83,0,7
Init-1112,85,0,16
Init-1113,143,0,17
Init-1114,190,0,5
Init-1115,102,0,7
Init-1116,116,0,17
Init-1118,187,0,6
Init-1120,197,0,4
Init-1121,191,0,2
Init-1122,126,0,18
Init-1123,117,0,9
Init-1125,165,0,3
Init-1126,35,0,18
Init-1128,125,0,12
Init-1129,177,0,3
Init-1130,193,0,14
Init-1133,164,0,16
Init-1135,198,0,3
Init-1136,38,0,11
Init-1142,40,0,11
Init-1151,73,0,20
Init-1168,82,0,8
Init-1175,99,0,14
Init-1177,143,0,8
Init-1186,165,0,11
Init-1197,190,0,14
Init-1203,191,0,8
Init-1207,193,0,3
Init-1169,5,0,11
Init-1170,11,0,11
Init-1171,14,0,3
Init-1172,34,0,5
Init-1173,15,0,19
Init-1174,58,0,11
Init-1176,71,0,12
Init-1178,159,0,13
Init-1179,16,0,11
Init-1181,5,0,5
Init-1182,128,0,10
Init-1183,43,0,20
Init-1184,77,0,16
Init-1185,11,0,12
Init-1188,96,0,12
Init-1189,33,0,4
Init-1190,82,0,19
Init-1191,187,0,9
Init-1192,92,0,12
Init-1193,104,0,18
Init-1195,3,0,16
Init-1196,113,0,9
Init-1198,62,0,19
Init-1199,141,0,13
Init-1201,118,0,4
Init-1202,82,0,19
Init-1204,130,0,15
Init-1205,85,0,15
Init-1206,102,0,6
Init-1208,144,0,7
Init-1209,167,0,20
Init-1210,144,0,15
Init-1211,195,0,14
Init-1213,152,0,4
Init-1214,92,0,13
Init-1215,169,0,11
Init-1216,196,0,14
Init-1219,196,0,19
Init-1228,137,0,16
Init-1245,167,0,20
Init-1247,102,0,19
Init-1252,169,0,7
Init-1255,180,0,9
Init-1257,196,0,18
Init-1259,14,0,12
Init-1291,2,0,18
Init-1292,24,0,14
Init-1293,58,0,20
Init-1294,1,0,10
Init-1295,68,0,4
Init-1296,63,0,15
Init-1297,81,0,2
Init-1298,12,0,14
Init-1299,23,0,15
Init-1300,88,0,15
Init-1301,97,0,15
Init-1302,104,0,14
Init-1303,30,0,19
Init-1304,105,0,19
Init-1305,131,0,20
Init-1306,110,0,14
Init-1307,28,0,5
Init-1308,33,0,7
Init-1309,48,0,14
Init-1310,113,0,3
Init-1311,59,0,2
Init-1312,48,0,17
Init-1313,136,0,10
Init-1314,98,0,3
Init-1315,199,0,18
Init-1316,105,0,3
Init-1317,62,0,16
Init-1318,2,0,18
Init-1319,111,0,18
Init-1320,106,0,3
Init-1321,144,0,2
Init-1322,82,0,14
Init-1323,174,0,14
Init-1324,128,0,4
Init-1325,58,0,19
Init-1327,165,0,20
Init-1328,24,0,15
Init-1329,63,0,18
Init-1330,191,0,18
Init-1331,195,0,20
Init-1335,38,0,10
Init-1336,64,0,9
Init-1337,171,0,15
Init-1341,148,0,13
Init-1343,161,0,8
Init-1348,84,0,17
Init-1349,88,0,3
Init-1354,59,0,17
Init-1355,90,0,14
Init-1358,90,0,14
Init-1359,136,0,10
Init-1369,97,0,17
Init-1374,102,0,17
Init-1375,199,0,10
Init-1389,104,0,10
Init-1392,108,0,18
Init-1397,110,0,13
Init-1423,4,0,15
Init-1424,6,0,13
Init-1425,53,0,12
Init-1426,3,0,3
Init-1427,8,0,4
Init-1428,103,0,10
Init-1429,107,0,5
Init-1430,11,0,9
Init-1431,6,0,5
Init-1432,23,0,11
Init-1433,54,0,3
Init-1434,10,0,11
Init-1435,48,0,8
Init-1436,15,0,15
Init-1437,75,0,10
Init-1438,30,0,2
Init-1439,6,0,17
Init-1440,32,0,9
Init-1441,50,0,12
Init-1442,15,0,6
Init-1443,73,0,9
Init-1444,91,0,13
Init-1445,119,0,2
Init-1446,124,0,10
Init-1447,27,0,16
Init-1448,118,0,17
Init-1449,116,0,19
Init-1450,126,0,10
Init-1451,73,0,6
Init-1452,161,0,19
Init-1453,157,0,18
Init-1454,185,0,2
Init-1458,130,0,12
Init-1460,109,0,4
Init-1461,48,0,7
Init-1462,118,0,17
Init-1463,136,0,20
Init-1465,156,0,9
Init-1466,129,0,17
Init-1467,130,0,3
Init-1469,124,0,10
Init-1470,133,0,11
Init-1471,133,0,5
Init-1472,165,0,19
Init-1474,177,0,7
Init-1477,170,0,19
Init-1482,186,0,10
Init-1484,165,0,11
Init-1485,170,0,11
Init-1486,185,0,8
Init-1488,195,0,16
Init-1495,198,0,11
Init-1496,193,0,14
Init-1501,195,0,20
Init-1524,29,0,12
Init-1525,5,0,8
Init-1526,9,0,10
Init-1527,70,0,2
Init-1528,29,0,18
Init-1529,5,0,3
Init-1530,10,0,10
Init-1531,5,0,2
Init-1532,9,0,10
Init-1533,62,0,2
Init-1534,81,0,14
Init-1535,14,0,5
Init-1536,81,0,19
Init-1537,12,0,18
Init-1538,164,0,3
Init-1539,97,0,11
Init-1540,144,0,7
Init-1541,5,0,13
Init-1542,150,0,9
Init-1543,119,0,10
Init-1544,168,0,19
Init-1545,120,0,12
Init-1546,173,0,4
Init-1547,183,0,9
Init-1548,197,0,6
Init-1551,87,0,8
Init-1552,59,0,18
Init-1553,178,0,20
Init-1554,179,0,19
Init-1555,14,0,6
Init-1556,12,0,15
Init-1561,15,0,17
Init-1571,19,0,16
Init-1579,43,0,5
Init-1585,80,0,16
Init-1588,19,0,12
Init-1590,57,0,11
Init-1592,97,0,8
Init-1593,62,0,2
Init-1595,101,0,9
Init-1598,109,0,10
Init-1600,109,0,3
Init-1603,178,0,7
Init-1606,133,0,12
Init-1619,142,0,5
Init-1625,150,0,12
Init-1632,157,0,12
Init-1634,173,0,19
Init-1641,175,0,4
Init-1648,179,0,4
Init-1655,182,0,18
Init-1695,184,0,14
Init-1642,25,0,17
Init-1643,17,0,17
Init-1644,28,0,6
Init-1645,13,0,6
Init-1646,33,0,16
Init-1647,47,0,5
Init-1649,49,0,5
Init-1650,37,0,11
Init-1651,40,0,8
Init-1652,53,0,12
Init-1653,57,0,10
Init-1654,28,0,5
Init-1656,14,0,13
Init-1657,67,0,11
Init-1658,62,0,11
Init-1659,78,0,3
Init-1660,79,0,3
Init-1661,17,0,4
Init-1662,82,0,20
Init-1663,119,0,11
Init-1664,108,0,19
Init-1665,26,0,20
Init-1666,85,0,16
Init-1667,30,0,16
Init-1668,200,0,6
Init-1669,105,0,14
Init-1670,98,0,12
Init-1671,113,0,2
Init-1672,49,0,13
Init-1673,200,0,11
Init-1674,114,0,6
Init-1675,53,0,12
Init-1676,67,0,19
Init-1677,201,0,15
Init-1678,106,0,19
Init-1679,115,0,4
Init-1680,127,0,20
Init-1681,160,0,20
Init-1682,133,0,9
